id,title,difficulty,totalNotes,sub_constant_1,main_constant,sub_constant_2,stamina,handspeed,burst,complex,rhythm
357,Ridge Racer,edit,944,7.89 ,8.77 ,10.13 ,7.10 ,1.04 ,0.05 ,11.53 ,11.92 
358,オパ！オパ！RACER - GMT mashup -,oni,682,7.51 ,7.54 ,7.68 ,7.89 ,7.14 ,5.63 ,7.34 ,7.92 
359,RIDGE RACER STEPS -GMT remix-,oni,536,4.69 ,7.87 ,10.36 ,3.14 ,4.08 ,7.50 ,6.23 ,11.76 
360,Angel Halo,oni,898,11.58 ,10.84 ,10.56 ,11.02 ,11.51 ,10.07 ,12.00 ,7.53 
361,Venomous,edit,765,10.03 ,9.92 ,9.80 ,9.47 ,10.30 ,10.07 ,10.12 ,8.07 
361,Venomous,oni,765,9.18 ,8.95 ,8.56 ,8.12 ,7.65 ,10.07 ,11.20 ,6.49 
363,Kamikaze Remix,oni,737,9.82 ,8.67 ,6.46 ,9.42 ,4.87 ,2.42 ,13.17 ,5.41 
364,RAGE v.self,oni,545,4.02 ,3.82 ,3.46 ,4.02 ,0.90 ,0.14 ,5.57 ,3.46 
365,燎原ノ舞,oni,822,12.74 ,10.93 ,10.32 ,13.58 ,11.18 ,9.76 ,13.12 ,5.94 
366,你的光芒,edit,724,2.81 ,2.39 ,1.29 ,4.81 ,0.18 ,0.00 ,0.47 ,0.00 
366,你的光芒,oni,382,0.73 ,0.74 ,0.33 ,1.25 ,0.01 ,0.00 ,0.00 ,0.00 
367,KAZE NO KUNI NO RYUU TO KISHI,oni,624,4.16 ,3.81 ,2.15 ,4.41 ,4.73 ,2.83 ,3.07 ,0.74 
368,散步,edit,816,4.46 ,4.50 ,2.91 ,7.32 ,2.28 ,7.50 ,0.00 ,0.45 
368,散步,oni,371,0.33 ,0.35 ,0.32 ,0.56 ,0.00 ,0.00 ,0.00 ,0.33 
369,【限定】ジングルベル第765番,oni,417,4.86 ,5.31 ,6.59 ,3.94 ,1.60 ,8.96 ,7.20 ,3.81 
372,旋风ノ舞【地】,oni,693,4.62 ,4.18 ,2.34 ,7.02 ,2.19 ,2.83 ,3.05 ,0.71 
374,紅蓮の弓矢,oni,510,5.41 ,5.39 ,3.71 ,5.42 ,7.20 ,7.61 ,2.30 ,2.14 
375,Shiny Kung-fu Revival,oni,765,11.14 ,10.56 ,10.54 ,9.61 ,11.11 ,9.96 ,12.31 ,10.13 
377,KOI NO SHOHOUSEN,oni,361,1.63 ,3.84 ,5.40 ,2.45 ,0.42 ,7.79 ,1.30 ,5.79 
378,马尾和发圈,oni,467,1.91 ,1.91 ,1.16 ,3.00 ,1.35 ,2.83 ,0.00 ,0.00 
380,Rain,oni,299,2.97 ,2.83 ,2.59 ,1.56 ,0.41 ,0.10 ,4.85 ,2.60 
381,嘘,oni,419,1.16 ,1.74 ,2.10 ,2.00 ,0.10 ,7.50 ,0.00 ,0.18 
383,Dragon Night,oni,535,7.25 ,7.13 ,4.60 ,5.23 ,8.75 ,7.85 ,7.20 ,2.68 
384,RPG,oni,345,0.69 ,0.62 ,0.39 ,1.18 ,0.02 ,0.01 ,0.00 ,0.26 
385,樱桃,oni,386,5.42 ,5.29 ,2.85 ,7.44 ,5.57 ,5.17 ,0.73 ,0.16 
386,情书2000,oni,777,8.78 ,8.57 ,6.51 ,10.17 ,10.53 ,8.67 ,3.75 ,1.98 
387,SMOKY THRILL,oni,492,4.32 ,5.15 ,6.49 ,2.25 ,0.26 ,0.23 ,7.09 ,7.31 
388,恭喜毕业典礼,oni,797,11.95 ,10.48 ,9.72 ,12.44 ,10.89 ,9.29 ,12.24 ,4.82 
389,SORA-I Earth Rise,oni,450,7.20 ,8.64 ,8.86 ,4.15 ,1.03 ,8.43 ,11.63 ,9.49 
390,SORA-II 格利泽581,oni,567,3.03 ,2.63 ,1.68 ,2.58 ,0.04 ,0.00 ,4.52 ,1.12 
391,SORA-VI 火ノ鸟,oni,666,6.84 ,6.40 ,4.64 ,6.08 ,3.20 ,5.01 ,9.56 ,3.71 
392,珠算2000,oni,765,10.64 ,9.87 ,10.31 ,7.97 ,10.83 ,11.06 ,12.44 ,6.26 
393,双龙之乱,oni,970,14.12 ,14.00 ,13.64 ,14.76 ,15.50 ,14.74 ,11.52 ,8.98 
